trial_id,qid,task,model,choice,confidence,correct
161,GRID-0161,Grid,qwen2.5-vl-7b,B,3,1
162,GRID-0162,Grid,qwen2.5-vl-7b,B,3,1
163,GRID-0163,Grid,qwen2.5-vl-7b,A,3,1
164,GRID-0164,Grid,qwen2.5-vl-7b,B,3,1
165,GRID-0165,Grid,qwen2.5-vl-7b,A,3,1
166,GRID-0166,Grid,qwen2.5-vl-7b,B,3,1
167,GRID-0167,Grid,qwen2.5-vl-7b,A,3,1
168,GRID-0168,Grid,qwen2.5-vl-7b,B,3,1
169,GRID-0169,Grid,qwen2.5-vl-7b,B,3,1
170,GRID-0170,Grid,qwen2.5-vl-7b,A,3,1
171,GRID-0171,Grid,qwen2.5-vl-7b,A,3,1
172,GRID-0172,Grid,qwen2.5-vl-7b,B,3,1
173,GRID-0173,Grid,qwen2.5-vl-7b,A,3,1
174,GRID-0174,Grid,qwen2.5-vl-7b,A,3,1
175,GRID-0175,Grid,qwen2.5-vl-7b,A,3,0
176,GRID-0176,Grid,qwen2.5-vl-7b,A,3,1
177,GRID-0177,Grid,qwen2.5-vl-7b,A,3,1
178,GRID-0178,Grid,qwen2.5-vl-7b,B,3,1
179,GRID-0179,Grid,qwen2.5-vl-7b,A,3,1
180,GRID-0180,Grid,qwen2.5-vl-7b,A,3,1
181,GRID-0181,Grid,qwen2.5-vl-7b,A,3,1
182,GRID-0182,Grid,qwen2.5-vl-7b,B,3,1
183,GRID-0183,Grid,qwen2.5-vl-7b,A,3,1
184,GRID-0184,Grid,qwen2.5-vl-7b,B,3,1
185,GRID-0185,Grid,qwen2.5-vl-7b,A,3,1
186,GRID-0186,Grid,qwen2.5-vl-7b,A,4,1
187,GRID-0187,Grid,qwen2.5-vl-7b,B,3,1
188,GRID-0188,Grid,qwen2.5-vl-7b,B,3,1
189,GRID-0189,Grid,qwen2.5-vl-7b,A,3,1
190,GRID-0190,Grid,qwen2.5-vl-7b,B,3,1
191,GRID-0191,Grid,qwen2.5-vl-7b,A,3,1
192,GRID-0192,Grid,qwen2.5-vl-7b,B,3,1
193,GRID-0193,Grid,qwen2.5-vl-7b,B,3,1
194,GRID-0194,Grid,qwen2.5-vl-7b,A,3,1
195,GRID-0195,Grid,qwen2.5-vl-7b,A,3,1
196,GRID-0196,Grid,qwen2.5-vl-7b,A,3,1
197,GRID-0197,Grid,qwen2.5-vl-7b,A,3,1
198,GRID-0198,Grid,qwen2.5-vl-7b,A,3,1
199,GRID-0199,Grid,qwen2.5-vl-7b,B,3,1
200,GRID-0200,Grid,qwen2.5-vl-7b,A,3,1
201,GRID-0201,Grid,qwen2.5-vl-7b,A,3,1
202,GRID-0202,Grid,qwen2.5-vl-7b,A,3,1
203,GRID-0203,Grid,qwen2.5-vl-7b,B,3,1
204,GRID-0204,Grid,qwen2.5-vl-7b,B,3,1
205,GRID-0205,Grid,qwen2.5-vl-7b,B,3,1
206,GRID-0206,Grid,qwen2.5-vl-7b,B,3,1
207,GRID-0207,Grid,qwen2.5-vl-7b,A,3,1
208,GRID-0208,Grid,qwen2.5-vl-7b,A,3,1
209,GRID-0209,Grid,qwen2.5-vl-7b,A,3,1
210,GRID-0210,Grid,qwen2.5-vl-7b,A,3,1
211,GRID-0211,Grid,qwen2.5-vl-7b,B,3,1
212,GRID-0212,Grid,qwen2.5-vl-7b,A,3,1
213,GRID-0213,Grid,qwen2.5-vl-7b,B,3,1
214,GRID-0214,Grid,qwen2.5-vl-7b,B,3,1
215,GRID-0215,Grid,qwen2.5-vl-7b,A,3,0
216,GRID-0216,Grid,qwen2.5-vl-7b,B,3,1
217,GRID-0217,Grid,qwen2.5-vl-7b,B,3,1
218,GRID-0218,Grid,qwen2.5-vl-7b,A,3,1
219,GRID-0219,Grid,qwen2.5-vl-7b,A,3,1
220,GRID-0220,Grid,qwen2.5-vl-7b,A,3,1
221,GRID-0221,Grid,qwen2.5-vl-7b,B,4,1
222,GRID-0222,Grid,qwen2.5-vl-7b,A,3,1
223,GRID-0223,Grid,qwen2.5-vl-7b,B,3,1
224,GRID-0224,Grid,qwen2.5-vl-7b,A,3,1
225,GRID-0225,Grid,qwen2.5-vl-7b,B,3,1
226,GRID-0226,Grid,qwen2.5-vl-7b,A,3,1
227,GRID-0227,Grid,qwen2.5-vl-7b,A,3,1
228,GRID-0228,Grid,qwen2.5-vl-7b,A,3,1
229,GRID-0229,Grid,qwen2.5-vl-7b,B,3,1
230,GRID-0230,Grid,qwen2.5-vl-7b,B,3,1
231,GRID-0231,Grid,qwen2.5-vl-7b,A,3,1
232,GRID-0232,Grid,qwen2.5-vl-7b,B,3,1
233,GRID-0233,Grid,qwen2.5-vl-7b,B,3,1
234,GRID-0234,Grid,qwen2.5-vl-7b,A,3,1
235,GRID-0235,Grid,qwen2.5-vl-7b,B,3,1
236,GRID-0236,Grid,qwen2.5-vl-7b,A,3,1
237,GRID-0237,Grid,qwen2.5-vl-7b,A,3,1
238,GRID-0238,Grid,qwen2.5-vl-7b,B,3,1
239,GRID-0239,Grid,qwen2.5-vl-7b,B,3,1
240,GRID-0240,Grid,qwen2.5-vl-7b,B,3,1
241,GRID-0241,Grid,qwen2.5-vl-7b,B,3,1
242,GRID-0242,Grid,qwen2.5-vl-7b,A,3,1
243,GRID-0243,Grid,qwen2.5-vl-7b,A,3,0
244,GRID-0244,Grid,qwen2.5-vl-7b,A,3,1
245,GRID-0245,Grid,qwen2.5-vl-7b,A,3,1
246,GRID-0246,Grid,qwen2.5-vl-7b,A,3,1
247,GRID-0247,Grid,qwen2.5-vl-7b,A,3,0
248,GRID-0248,Grid,qwen2.5-vl-7b,B,3,1
249,GRID-0249,Grid,qwen2.5-vl-7b,A,3,1
250,GRID-0250,Grid,qwen2.5-vl-7b,A,3,0
251,GRID-0251,Grid,qwen2.5-vl-7b,B,3,1
252,GRID-0252,Grid,qwen2.5-vl-7b,B,3,1
253,GRID-0253,Grid,qwen2.5-vl-7b,A,3,1
254,GRID-0254,Grid,qwen2.5-vl-7b,B,3,1
255,GRID-0255,Grid,qwen2.5-vl-7b,A,3,1
256,GRID-0256,Grid,qwen2.5-vl-7b,A,3,1
257,GRID-0257,Grid,qwen2.5-vl-7b,B,3,1
258,GRID-0258,Grid,qwen2.5-vl-7b,A,3,1
259,GRID-0259,Grid,qwen2.5-vl-7b,B,3,1
260,GRID-0260,Grid,qwen2.5-vl-7b,B,3,1
261,GRID-0261,Grid,qwen2.5-vl-7b,B,3,1
262,GRID-0262,Grid,qwen2.5-vl-7b,A,3,1
263,GRID-0263,Grid,qwen2.5-vl-7b,A,3,1
264,GRID-0264,Grid,qwen2.5-vl-7b,B,3,1
265,GRID-0265,Grid,qwen2.5-vl-7b,A,3,1
266,GRID-0266,Grid,qwen2.5-vl-7b,A,3,1
267,GRID-0267,Grid,qwen2.5-vl-7b,A,3,1
268,GRID-0268,Grid,qwen2.5-vl-7b,A,3,1
269,GRID-0269,Grid,qwen2.5-vl-7b,A,3,1
270,GRID-0270,Grid,qwen2.5-vl-7b,A,3,1
271,GRID-0271,Grid,qwen2.5-vl-7b,B,3,1
272,GRID-0272,Grid,qwen2.5-vl-7b,B,3,1
273,GRID-0273,Grid,qwen2.5-vl-7b,A,3,1
274,GRID-0274,Grid,qwen2.5-vl-7b,A,3,1
275,GRID-0275,Grid,qwen2.5-vl-7b,A,3,1
276,GRID-0276,Grid,qwen2.5-vl-7b,B,3,1
277,GRID-0277,Grid,qwen2.5-vl-7b,A,3,1
278,GRID-0278,Grid,qwen2.5-vl-7b,B,3,1
279,GRID-0279,Grid,qwen2.5-vl-7b,B,3,1
280,GRID-0280,Grid,qwen2.5-vl-7b,B,3,1
281,GRID-0281,Grid,qwen2.5-vl-7b,B,3,1
282,GRID-0282,Grid,qwen2.5-vl-7b,A,3,1
283,GRID-0283,Grid,qwen2.5-vl-7b,A,3,1
284,GRID-0284,Grid,qwen2.5-vl-7b,A,3,1
285,GRID-0285,Grid,qwen2.5-vl-7b,B,3,1
286,GRID-0286,Grid,qwen2.5-vl-7b,A,4,1
287,GRID-0287,Grid,qwen2.5-vl-7b,B,3,1
288,GRID-0288,Grid,qwen2.5-vl-7b,A,3,1
289,GRID-0289,Grid,qwen2.5-vl-7b,A,3,1
290,GRID-0290,Grid,qwen2.5-vl-7b,A,3,1
291,GRID-0291,Grid,qwen2.5-vl-7b,A,3,1
292,GRID-0292,Grid,qwen2.5-vl-7b,A,3,1
293,GRID-0293,Grid,qwen2.5-vl-7b,B,3,1
294,GRID-0294,Grid,qwen2.5-vl-7b,B,3,1
295,GRID-0295,Grid,qwen2.5-vl-7b,B,3,1
296,GRID-0296,Grid,qwen2.5-vl-7b,A,3,1
297,GRID-0297,Grid,qwen2.5-vl-7b,B,3,1
298,GRID-0298,Grid,qwen2.5-vl-7b,A,3,1
299,GRID-0299,Grid,qwen2.5-vl-7b,A,3,1
300,GRID-0300,Grid,qwen2.5-vl-7b,B,3,1
301,GRID-0301,Grid,qwen2.5-vl-7b,A,3,1
302,GRID-0302,Grid,qwen2.5-vl-7b,A,3,1
303,GRID-0303,Grid,qwen2.5-vl-7b,A,3,1
304,GRID-0304,Grid,qwen2.5-vl-7b,B,3,1
305,GRID-0305,Grid,qwen2.5-vl-7b,A,3,1
306,GRID-0306,Grid,qwen2.5-vl-7b,B,3,1
307,GRID-0307,Grid,qwen2.5-vl-7b,B,3,1
308,GRID-0308,Grid,qwen2.5-vl-7b,A,3,1
309,GRID-0309,Grid,qwen2.5-vl-7b,A,3,1
310,GRID-0310,Grid,qwen2.5-vl-7b,B,3,1
311,GRID-0311,Grid,qwen2.5-vl-7b,A,3,0
312,GRID-0312,Grid,qwen2.5-vl-7b,B,3,1
313,GRID-0313,Grid,qwen2.5-vl-7b,B,3,1
314,GRID-0314,Grid,qwen2.5-vl-7b,B,3,1
315,GRID-0315,Grid,qwen2.5-vl-7b,B,3,1
316,GRID-0316,Grid,qwen2.5-vl-7b,B,3,1
317,GRID-0317,Grid,qwen2.5-vl-7b,B,3,1
318,GRID-0318,Grid,qwen2.5-vl-7b,B,3,1
319,GRID-0319,Grid,qwen2.5-vl-7b,A,3,1
320,GRID-0320,Grid,qwen2.5-vl-7b,A,3,1
321,GRID-0321,Grid,qwen2.5-vl-7b,B,3,1
322,GRID-0322,Grid,qwen2.5-vl-7b,A,4,1
323,GRID-0323,Grid,qwen2.5-vl-7b,B,3,1
324,GRID-0324,Grid,qwen2.5-vl-7b,B,3,1
325,GRID-0325,Grid,qwen2.5-vl-7b,A,4,1
326,GRID-0326,Grid,qwen2.5-vl-7b,B,3,1
327,GRID-0327,Grid,qwen2.5-vl-7b,B,3,1
328,GRID-0328,Grid,qwen2.5-vl-7b,B,3,1
329,GRID-0329,Grid,qwen2.5-vl-7b,B,3,1
330,GRID-0330,Grid,qwen2.5-vl-7b,B,3,1
331,GRID-0331,Grid,qwen2.5-vl-7b,A,3,1
332,GRID-0332,Grid,qwen2.5-vl-7b,B,3,1
333,GRID-0333,Grid,qwen2.5-vl-7b,A,3,1
334,GRID-0334,Grid,qwen2.5-vl-7b,A,3,1
335,GRID-0335,Grid,qwen2.5-vl-7b,A,3,1
336,GRID-0336,Grid,qwen2.5-vl-7b,A,3,1
337,GRID-0337,Grid,qwen2.5-vl-7b,B,3,1
338,GRID-0338,Grid,qwen2.5-vl-7b,B,3,1
339,GRID-0339,Grid,qwen2.5-vl-7b,A,3,1
340,GRID-0340,Grid,qwen2.5-vl-7b,A,3,1
341,GRID-0341,Grid,qwen2.5-vl-7b,B,3,1
342,GRID-0342,Grid,qwen2.5-vl-7b,A,3,1
343,GRID-0343,Grid,qwen2.5-vl-7b,A,3,0
344,GRID-0344,Grid,qwen2.5-vl-7b,B,3,1
345,GRID-0345,Grid,qwen2.5-vl-7b,B,3,1
346,GRID-0346,Grid,qwen2.5-vl-7b,A,3,1
347,GRID-0347,Grid,qwen2.5-vl-7b,B,3,1
348,GRID-0348,Grid,qwen2.5-vl-7b,A,3,1
349,GRID-0349,Grid,qwen2.5-vl-7b,B,3,1
350,GRID-0350,Grid,qwen2.5-vl-7b,B,3,1
351,GRID-0351,Grid,qwen2.5-vl-7b,B,3,1
352,GRID-0352,Grid,qwen2.5-vl-7b,A,3,1
353,GRID-0353,Grid,qwen2.5-vl-7b,A,3,1
354,GRID-0354,Grid,qwen2.5-vl-7b,B,3,1
355,GRID-0355,Grid,qwen2.5-vl-7b,A,4,1
356,GRID-0356,Grid,qwen2.5-vl-7b,A,3,1
357,GRID-0357,Grid,qwen2.5-vl-7b,B,3,1
358,GRID-0358,Grid,qwen2.5-vl-7b,A,4,1
359,GRID-0359,Grid,qwen2.5-vl-7b,B,3,1
360,GRID-0360,Grid,qwen2.5-vl-7b,B,3,1
361,GRID-0361,Grid,qwen2.5-vl-7b,B,3,1
362,GRID-0362,Grid,qwen2.5-vl-7b,B,3,1
363,GRID-0363,Grid,qwen2.5-vl-7b,A,3,1
364,GRID-0364,Grid,qwen2.5-vl-7b,B,3,1
365,GRID-0365,Grid,qwen2.5-vl-7b,A,3,1
366,GRID-0366,Grid,qwen2.5-vl-7b,B,3,1
367,GRID-0367,Grid,qwen2.5-vl-7b,A,3,1
368,GRID-0368,Grid,qwen2.5-vl-7b,A,3,1
369,GRID-0369,Grid,qwen2.5-vl-7b,B,3,1
370,GRID-0370,Grid,qwen2.5-vl-7b,B,3,1
371,GRID-0371,Grid,qwen2.5-vl-7b,B,3,1
372,GRID-0372,Grid,qwen2.5-vl-7b,B,3,1
373,GRID-0373,Grid,qwen2.5-vl-7b,A,3,1
374,GRID-0374,Grid,qwen2.5-vl-7b,A,4,1
375,GRID-0375,Grid,qwen2.5-vl-7b,A,3,1
376,GRID-0376,Grid,qwen2.5-vl-7b,B,3,1
377,GRID-0377,Grid,qwen2.5-vl-7b,A,3,1
378,GRID-0378,Grid,qwen2.5-vl-7b,A,4,1
379,GRID-0379,Grid,qwen2.5-vl-7b,A,4,1
380,GRID-0380,Grid,qwen2.5-vl-7b,B,3,1
381,GRID-0381,Grid,qwen2.5-vl-7b,B,3,1
382,GRID-0382,Grid,qwen2.5-vl-7b,A,4,1
383,GRID-0383,Grid,qwen2.5-vl-7b,A,3,1
384,GRID-0384,Grid,qwen2.5-vl-7b,B,3,1
385,GRID-0385,Grid,qwen2.5-vl-7b,A,3,1
386,GRID-0386,Grid,qwen2.5-vl-7b,B,3,1
387,GRID-0387,Grid,qwen2.5-vl-7b,B,3,1
388,GRID-0388,Grid,qwen2.5-vl-7b,B,3,1
389,GRID-0389,Grid,qwen2.5-vl-7b,B,3,1
390,GRID-0390,Grid,qwen2.5-vl-7b,A,3,1
391,GRID-0391,Grid,qwen2.5-vl-7b,B,3,1
392,GRID-0392,Grid,qwen2.5-vl-7b,A,3,1
393,GRID-0393,Grid,qwen2.5-vl-7b,A,3,1
394,GRID-0394,Grid,qwen2.5-vl-7b,A,3,1
395,GRID-0395,Grid,qwen2.5-vl-7b,B,3,1
396,GRID-0396,Grid,qwen2.5-vl-7b,B,3,1
397,GRID-0397,Grid,qwen2.5-vl-7b,A,3,1
398,GRID-0398,Grid,qwen2.5-vl-7b,A,3,1
399,GRID-0399,Grid,qwen2.5-vl-7b,A,3,1
400,GRID-0400,Grid,qwen2.5-vl-7b,B,3,1
401,GRID-0401,Grid,qwen2.5-vl-7b,B,3,1
402,GRID-0402,Grid,qwen2.5-vl-7b,A,3,1
403,GRID-0403,Grid,qwen2.5-vl-7b,B,3,1
404,GRID-0404,Grid,qwen2.5-vl-7b,A,3,1
405,GRID-0405,Grid,qwen2.5-vl-7b,A,3,1
406,GRID-0406,Grid,qwen2.5-vl-7b,B,3,1
407,GRID-0407,Grid,qwen2.5-vl-7b,A,3,1
408,GRID-0408,Grid,qwen2.5-vl-7b,A,3,1
409,GRID-0409,Grid,qwen2.5-vl-7b,B,3,1
410,GRID-0410,Grid,qwen2.5-vl-7b,A,4,1
411,GRID-0411,Grid,qwen2.5-vl-7b,A,4,1
412,GRID-0412,Grid,qwen2.5-vl-7b,B,3,1
413,GRID-0413,Grid,qwen2.5-vl-7b,A,4,1
414,GRID-0414,Grid,qwen2.5-vl-7b,A,4,1
415,GRID-0415,Grid,qwen2.5-vl-7b,B,3,1
416,GRID-0416,Grid,qwen2.5-vl-7b,B,3,1
417,GRID-0417,Grid,qwen2.5-vl-7b,B,3,1
418,GRID-0418,Grid,qwen2.5-vl-7b,B,3,1
419,GRID-0419,Grid,qwen2.5-vl-7b,B,3,1
420,GRID-0420,Grid,qwen2.5-vl-7b,B,3,1
421,GRID-0421,Grid,qwen2.5-vl-7b,B,3,1
422,GRID-0422,Grid,qwen2.5-vl-7b,A,3,1
423,GRID-0423,Grid,qwen2.5-vl-7b,B,3,1
424,GRID-0424,Grid,qwen2.5-vl-7b,B,3,1
425,GRID-0425,Grid,qwen2.5-vl-7b,A,3,1
426,GRID-0426,Grid,qwen2.5-vl-7b,B,3,1
427,GRID-0427,Grid,qwen2.5-vl-7b,A,3,1
428,GRID-0428,Grid,qwen2.5-vl-7b,B,3,1
429,GRID-0429,Grid,qwen2.5-vl-7b,B,3,1
430,GRID-0430,Grid,qwen2.5-vl-7b,A,3,1
431,GRID-0431,Grid,qwen2.5-vl-7b,A,3,1
432,GRID-0432,Grid,qwen2.5-vl-7b,B,3,1
433,GRID-0433,Grid,qwen2.5-vl-7b,A,3,1
434,GRID-0434,Grid,qwen2.5-vl-7b,B,3,1
435,GRID-0435,Grid,qwen2.5-vl-7b,B,3,1
436,GRID-0436,Grid,qwen2.5-vl-7b,A,3,1
