trial_id,qid,task,model,difficulty_level,pA,pB,choice,confidence,correct
33,GRID-0033,Grid,qwen2.5-vl-7b,1,0.8515625,0.1484375,A,3.0,1
34,GRID-0034,Grid,qwen2.5-vl-7b,1,0.73046875,0.26953125,A,3.0,1
35,GRID-0035,Grid,qwen2.5-vl-7b,1,0.5,0.5,A,3.0,0
36,GRID-0036,Grid,qwen2.5-vl-7b,1,0.73046875,0.26953125,A,3.0,0
37,GRID-0037,Grid,qwen2.5-vl-7b,1,0.65234375,0.34765625,A,3.0,1
38,GRID-0038,Grid,qwen2.5-vl-7b,1,0.59375,0.40625,A,3.0,0
39,GRID-0039,Grid,qwen2.5-vl-7b,1,0.46875,0.53125,B,3.0,1
40,GRID-0040,Grid,qwen2.5-vl-7b,1,0.59375,0.40625,A,3.0,1
41,GRID-0041,Grid,qwen2.5-vl-7b,1,0.2021484375,0.796875,B,3.0,1
42,GRID-0042,Grid,qwen2.5-vl-7b,1,0.294921875,0.70703125,B,3.0,1
43,GRID-0043,Grid,qwen2.5-vl-7b,1,0.65234375,0.34765625,A,3.0,1
44,GRID-0044,Grid,qwen2.5-vl-7b,1,0.22265625,0.77734375,B,3.0,1
45,GRID-0045,Grid,qwen2.5-vl-7b,1,0.22265625,0.77734375,B,3.0,1
46,GRID-0046,Grid,qwen2.5-vl-7b,1,0.6796875,0.3203125,A,3.0,1
47,GRID-0047,Grid,qwen2.5-vl-7b,1,0.93359375,0.0673828125,A,3.0,0
48,GRID-0048,Grid,qwen2.5-vl-7b,1,0.4375,0.5625,B,3.0,1
49,GRID-0049,Grid,qwen2.5-vl-7b,1,0.8359375,0.1640625,A,3.0,0
50,GRID-0050,Grid,qwen2.5-vl-7b,1,0.77734375,0.22265625,A,3.0,1
51,GRID-0051,Grid,qwen2.5-vl-7b,1,0.8359375,0.1640625,A,3.0,1
52,GRID-0052,Grid,qwen2.5-vl-7b,1,0.89453125,0.1064453125,A,3.0,1
53,GRID-0053,Grid,qwen2.5-vl-7b,1,0.81640625,0.1826171875,A,3.0,0
54,GRID-0054,Grid,qwen2.5-vl-7b,1,0.8671875,0.1328125,A,3.0,1
55,GRID-0055,Grid,qwen2.5-vl-7b,1,0.94140625,0.06005859375,A,3.0,1
56,GRID-0056,Grid,qwen2.5-vl-7b,1,0.6796875,0.3203125,A,3.0,0
57,GRID-0057,Grid,qwen2.5-vl-7b,1,0.34765625,0.65234375,B,3.0,1
58,GRID-0058,Grid,qwen2.5-vl-7b,1,0.75390625,0.2451171875,A,3.0,0
59,GRID-0059,Grid,qwen2.5-vl-7b,1,0.65234375,0.34765625,A,3.0,0
60,GRID-0060,Grid,qwen2.5-vl-7b,1,0.53125,0.46875,A,3.0,1
61,GRID-0061,Grid,qwen2.5-vl-7b,1,0.8515625,0.1484375,A,3.0,0
62,GRID-0062,Grid,qwen2.5-vl-7b,1,0.70703125,0.294921875,A,3.0,1
63,GRID-0063,Grid,qwen2.5-vl-7b,1,0.89453125,0.1064453125,A,3.0,1
64,GRID-0064,Grid,qwen2.5-vl-7b,1,0.73046875,0.26953125,A,3.0,1
65,GRID-0065,Grid,qwen2.5-vl-7b,1,0.90625,0.09521484375,A,3.0,1
66,GRID-0066,Grid,qwen2.5-vl-7b,1,0.2451171875,0.75390625,B,3.0,1
67,GRID-0067,Grid,qwen2.5-vl-7b,1,0.59375,0.40625,A,3.0,0
68,GRID-0068,Grid,qwen2.5-vl-7b,1,0.4375,0.5625,B,3.0,1
69,GRID-0069,Grid,qwen2.5-vl-7b,1,0.75390625,0.2451171875,A,3.0,0
70,GRID-0070,Grid,qwen2.5-vl-7b,1,0.8671875,0.1328125,A,3.0,1
71,GRID-0071,Grid,qwen2.5-vl-7b,1,0.53125,0.46875,A,3.0,1
72,GRID-0072,Grid,qwen2.5-vl-7b,1,0.9453125,0.053466796875,A,3.0,1
73,GRID-0073,Grid,qwen2.5-vl-7b,1,0.1640625,0.8359375,B,3.0,1
74,GRID-0074,Grid,qwen2.5-vl-7b,1,0.376953125,0.62109375,B,3.0,0
75,GRID-0075,Grid,qwen2.5-vl-7b,1,0.81640625,0.1826171875,A,3.0,1
76,GRID-0076,Grid,qwen2.5-vl-7b,1,0.796875,0.2021484375,A,3.0,1
77,GRID-0077,Grid,qwen2.5-vl-7b,1,0.1328125,0.8671875,B,3.0,1
78,GRID-0078,Grid,qwen2.5-vl-7b,1,0.5,0.5,A,3.0,0
79,GRID-0079,Grid,qwen2.5-vl-7b,1,0.70703125,0.294921875,A,3.0,1
80,GRID-0080,Grid,qwen2.5-vl-7b,1,0.46875,0.53125,B,3.0,0
81,GRID-0081,Grid,qwen2.5-vl-7b,1,0.81640625,0.1826171875,A,3.0,0
82,GRID-0082,Grid,qwen2.5-vl-7b,1,0.87890625,0.119140625,A,3.0,1
83,GRID-0083,Grid,qwen2.5-vl-7b,1,0.92578125,0.07568359375,A,3.0,1
84,GRID-0084,Grid,qwen2.5-vl-7b,1,0.62109375,0.376953125,A,3.0,0
85,GRID-0085,Grid,qwen2.5-vl-7b,1,0.53125,0.46875,A,3.0,0
86,GRID-0086,Grid,qwen2.5-vl-7b,1,0.9140625,0.0849609375,A,3.0,1
87,GRID-0087,Grid,qwen2.5-vl-7b,1,0.8671875,0.1328125,A,3.0,1
88,GRID-0088,Grid,qwen2.5-vl-7b,1,0.53125,0.46875,A,3.0,0
89,GRID-0089,Grid,qwen2.5-vl-7b,1,0.1328125,0.8671875,B,3.0,1
90,GRID-0090,Grid,qwen2.5-vl-7b,1,0.46875,0.53125,B,3.0,0
91,GRID-0091,Grid,qwen2.5-vl-7b,1,0.376953125,0.62109375,B,3.0,1
92,GRID-0092,Grid,qwen2.5-vl-7b,1,0.70703125,0.294921875,A,3.0,0
93,GRID-0093,Grid,qwen2.5-vl-7b,1,0.6796875,0.3203125,A,3.0,1
94,GRID-0094,Grid,qwen2.5-vl-7b,1,0.8671875,0.1328125,A,3.0,1
95,GRID-0095,Grid,qwen2.5-vl-7b,1,0.70703125,0.294921875,A,3.0,0
96,GRID-0096,Grid,qwen2.5-vl-7b,1,0.90625,0.09521484375,A,3.0,1
97,GRID-0097,Grid,qwen2.5-vl-7b,1,0.796875,0.2021484375,A,3.0,1
98,GRID-0098,Grid,qwen2.5-vl-7b,1,0.2451171875,0.75390625,B,3.0,1
99,GRID-0099,Grid,qwen2.5-vl-7b,1,0.81640625,0.1826171875,A,3.0,1
100,GRID-0100,Grid,qwen2.5-vl-7b,1,0.90625,0.09521484375,A,3.0,1
101,GRID-0101,Grid,qwen2.5-vl-7b,1,0.59375,0.40625,A,3.0,1
102,GRID-0102,Grid,qwen2.5-vl-7b,1,0.8515625,0.1484375,A,3.0,1
103,GRID-0103,Grid,qwen2.5-vl-7b,1,0.26953125,0.73046875,B,3.0,1
104,GRID-0104,Grid,qwen2.5-vl-7b,1,0.376953125,0.62109375,B,3.0,1
105,GRID-0105,Grid,qwen2.5-vl-7b,1,0.294921875,0.70703125,B,3.0,0
106,GRID-0106,Grid,qwen2.5-vl-7b,1,0.1484375,0.8515625,B,3.0,1
107,GRID-0107,Grid,qwen2.5-vl-7b,1,0.1826171875,0.81640625,B,3.0,1
108,GRID-0108,Grid,qwen2.5-vl-7b,1,0.90625,0.09521484375,A,3.0,1
109,GRID-0109,Grid,qwen2.5-vl-7b,1,0.5625,0.4375,A,3.0,0
110,GRID-0110,Grid,qwen2.5-vl-7b,1,0.1826171875,0.81640625,B,3.0,1
111,GRID-0111,Grid,qwen2.5-vl-7b,1,0.8671875,0.1328125,A,3.0,0
112,GRID-0112,Grid,qwen2.5-vl-7b,1,0.22265625,0.77734375,B,3.0,1
113,GRID-0113,Grid,qwen2.5-vl-7b,1,0.9140625,0.0849609375,A,3.0,1
114,GRID-0114,Grid,qwen2.5-vl-7b,1,0.9140625,0.0849609375,A,3.0,1
115,GRID-0115,Grid,qwen2.5-vl-7b,1,0.92578125,0.07568359375,A,3.0,0
116,GRID-0116,Grid,qwen2.5-vl-7b,1,0.953125,0.04736328125,A,3.0,1
117,GRID-0117,Grid,qwen2.5-vl-7b,1,0.8671875,0.1328125,A,3.0,0
118,GRID-0118,Grid,qwen2.5-vl-7b,1,0.96875,0.029296875,A,3.0,1
119,GRID-0119,Grid,qwen2.5-vl-7b,1,0.77734375,0.22265625,A,3.0,1
120,GRID-0120,Grid,qwen2.5-vl-7b,1,0.90625,0.09521484375,A,3.0,1
121,GRID-0121,Grid,qwen2.5-vl-7b,1,0.796875,0.2021484375,A,3.0,0
122,GRID-0122,Grid,qwen2.5-vl-7b,1,0.77734375,0.22265625,A,3.0,1
123,GRID-0123,Grid,qwen2.5-vl-7b,1,0.9140625,0.0849609375,A,3.0,1
124,GRID-0124,Grid,qwen2.5-vl-7b,1,0.70703125,0.294921875,A,3.0,0
125,GRID-0125,Grid,qwen2.5-vl-7b,1,0.8515625,0.1484375,A,3.0,1
126,GRID-0126,Grid,qwen2.5-vl-7b,1,0.81640625,0.1826171875,A,3.0,1
127,GRID-0127,Grid,qwen2.5-vl-7b,1,0.81640625,0.1826171875,A,3.0,0
128,GRID-0128,Grid,qwen2.5-vl-7b,1,0.796875,0.2021484375,A,3.0,1
129,GRID-0129,Grid,qwen2.5-vl-7b,2,0.8515625,0.1484375,A,3.0,1
130,GRID-0130,Grid,qwen2.5-vl-7b,2,0.34765625,0.65234375,B,3.0,1
131,GRID-0131,Grid,qwen2.5-vl-7b,2,0.40625,0.59375,B,3.0,1
132,GRID-0132,Grid,qwen2.5-vl-7b,2,0.9453125,0.053466796875,A,3.0,1
133,GRID-0133,Grid,qwen2.5-vl-7b,2,0.73046875,0.26953125,A,3.0,1
134,GRID-0134,Grid,qwen2.5-vl-7b,2,0.376953125,0.62109375,B,3.0,1
135,GRID-0135,Grid,qwen2.5-vl-7b,2,0.22265625,0.77734375,B,3.0,1
136,GRID-0136,Grid,qwen2.5-vl-7b,2,0.1826171875,0.81640625,B,3.0,1
137,GRID-0137,Grid,qwen2.5-vl-7b,2,0.95703125,0.0419921875,A,3.0,1
138,GRID-0138,Grid,qwen2.5-vl-7b,2,0.0849609375,0.9140625,B,3.0,1
139,GRID-0139,Grid,qwen2.5-vl-7b,2,0.97265625,0.0260009765625,A,3.0,1
140,GRID-0140,Grid,qwen2.5-vl-7b,2,0.1328125,0.8671875,B,3.0,1
141,GRID-0141,Grid,qwen2.5-vl-7b,2,0.0673828125,0.93359375,B,3.0,1
142,GRID-0142,Grid,qwen2.5-vl-7b,2,0.96875,0.029296875,A,3.0,1
143,GRID-0143,Grid,qwen2.5-vl-7b,2,0.73046875,0.26953125,A,3.0,0
144,GRID-0144,Grid,qwen2.5-vl-7b,2,0.97265625,0.0260009765625,A,3.0,1
145,GRID-0145,Grid,qwen2.5-vl-7b,2,0.9609375,0.037353515625,A,3.0,1
146,GRID-0146,Grid,qwen2.5-vl-7b,2,0.4375,0.5625,B,3.0,1
147,GRID-0147,Grid,qwen2.5-vl-7b,2,0.53125,0.46875,A,3.0,0
148,GRID-0148,Grid,qwen2.5-vl-7b,2,0.9765625,0.02294921875,A,3.0,1
149,GRID-0149,Grid,qwen2.5-vl-7b,2,0.26953125,0.73046875,B,3.0,1
150,GRID-0150,Grid,qwen2.5-vl-7b,2,0.97265625,0.0260009765625,A,3.0,1
151,GRID-0151,Grid,qwen2.5-vl-7b,2,0.93359375,0.0673828125,A,3.0,1
152,GRID-0152,Grid,qwen2.5-vl-7b,2,0.06005859375,0.9375,B,3.0,1
153,GRID-0153,Grid,qwen2.5-vl-7b,2,0.09521484375,0.90234375,B,3.0,1
154,GRID-0154,Grid,qwen2.5-vl-7b,2,0.95703125,0.0419921875,A,3.0,1
155,GRID-0155,Grid,qwen2.5-vl-7b,2,0.953125,0.04736328125,A,3.0,1
156,GRID-0156,Grid,qwen2.5-vl-7b,2,0.29296875,0.70703125,B,3.0,1
157,GRID-0157,Grid,qwen2.5-vl-7b,2,0.98046875,0.0179443359375,A,4.0,1
158,GRID-0158,Grid,qwen2.5-vl-7b,2,0.9609375,0.037353515625,A,3.0,1
159,GRID-0159,Grid,qwen2.5-vl-7b,2,0.9609375,0.037353515625,A,3.0,1
160,GRID-0160,Grid,qwen2.5-vl-7b,2,0.98046875,0.0203857421875,A,3.0,1
161,GRID-0161,Grid,qwen2.5-vl-7b,2,0.2451171875,0.75390625,B,3.0,1
162,GRID-0162,Grid,qwen2.5-vl-7b,2,0.2451171875,0.75390625,B,3.0,1
163,GRID-0163,Grid,qwen2.5-vl-7b,2,0.8515625,0.1484375,A,3.0,1
164,GRID-0164,Grid,qwen2.5-vl-7b,2,0.1064453125,0.890625,B,3.0,1
165,GRID-0165,Grid,qwen2.5-vl-7b,2,0.87890625,0.119140625,A,3.0,1
166,GRID-0166,Grid,qwen2.5-vl-7b,2,0.1484375,0.8515625,B,3.0,1
167,GRID-0167,Grid,qwen2.5-vl-7b,2,0.77734375,0.22265625,A,3.0,1
168,GRID-0168,Grid,qwen2.5-vl-7b,2,0.2021484375,0.796875,B,3.0,1
169,GRID-0169,Grid,qwen2.5-vl-7b,2,0.04736328125,0.953125,B,3.0,1
170,GRID-0170,Grid,qwen2.5-vl-7b,2,0.8671875,0.1328125,A,3.0,1
171,GRID-0171,Grid,qwen2.5-vl-7b,2,0.94140625,0.06005859375,A,3.0,1
172,GRID-0172,Grid,qwen2.5-vl-7b,2,0.037353515625,0.9609375,B,3.0,1
173,GRID-0173,Grid,qwen2.5-vl-7b,2,0.81640625,0.1826171875,A,3.0,1
174,GRID-0174,Grid,qwen2.5-vl-7b,2,0.93359375,0.0673828125,A,3.0,1
175,GRID-0175,Grid,qwen2.5-vl-7b,2,0.77734375,0.22265625,A,3.0,0
176,GRID-0176,Grid,qwen2.5-vl-7b,2,0.90625,0.09521484375,A,3.0,1
177,GRID-0177,Grid,qwen2.5-vl-7b,2,0.9921875,0.00860595703125,A,3.0,1
178,GRID-0178,Grid,qwen2.5-vl-7b,2,0.201171875,0.796875,B,3.0,1
179,GRID-0179,Grid,qwen2.5-vl-7b,2,0.98828125,0.012451171875,A,3.0,1
180,GRID-0180,Grid,qwen2.5-vl-7b,2,0.9921875,0.007568359375,A,3.0,1
181,GRID-0181,Grid,qwen2.5-vl-7b,2,0.98046875,0.0179443359375,A,3.0,1
182,GRID-0182,Grid,qwen2.5-vl-7b,2,0.34765625,0.65234375,B,3.0,1
183,GRID-0183,Grid,qwen2.5-vl-7b,2,0.94140625,0.06005859375,A,3.0,1
184,GRID-0184,Grid,qwen2.5-vl-7b,2,0.1474609375,0.8515625,B,3.0,1
185,GRID-0185,Grid,qwen2.5-vl-7b,2,0.98046875,0.0203857421875,A,3.0,1
186,GRID-0186,Grid,qwen2.5-vl-7b,2,0.9609375,0.037353515625,A,4.0,1
187,GRID-0187,Grid,qwen2.5-vl-7b,2,0.1064453125,0.89453125,B,3.0,1
188,GRID-0188,Grid,qwen2.5-vl-7b,2,0.032958984375,0.96484375,B,3.0,1
189,GRID-0189,Grid,qwen2.5-vl-7b,2,0.984375,0.015869140625,A,3.0,1
190,GRID-0190,Grid,qwen2.5-vl-7b,2,0.201171875,0.796875,B,3.0,1
191,GRID-0191,Grid,qwen2.5-vl-7b,2,0.97265625,0.0260009765625,A,3.0,1
192,GRID-0192,Grid,qwen2.5-vl-7b,2,0.07568359375,0.921875,B,3.0,1
193,GRID-0193,Grid,qwen2.5-vl-7b,2,0.1474609375,0.8515625,B,3.0,1
194,GRID-0194,Grid,qwen2.5-vl-7b,2,0.8671875,0.1328125,A,3.0,1
195,GRID-0195,Grid,qwen2.5-vl-7b,2,0.96484375,0.033203125,A,3.0,1
196,GRID-0196,Grid,qwen2.5-vl-7b,2,0.87890625,0.119140625,A,3.0,1
197,GRID-0197,Grid,qwen2.5-vl-7b,2,0.92578125,0.07568359375,A,3.0,1
198,GRID-0198,Grid,qwen2.5-vl-7b,2,0.96875,0.029296875,A,3.0,1
199,GRID-0199,Grid,qwen2.5-vl-7b,2,0.2021484375,0.796875,B,3.0,1
200,GRID-0200,Grid,qwen2.5-vl-7b,2,0.93359375,0.0673828125,A,3.0,1
201,GRID-0201,Grid,qwen2.5-vl-7b,2,0.9453125,0.053466796875,A,3.0,1
202,GRID-0202,Grid,qwen2.5-vl-7b,2,0.90625,0.09521484375,A,3.0,1
203,GRID-0203,Grid,qwen2.5-vl-7b,2,0.0673828125,0.93359375,B,3.0,1
204,GRID-0204,Grid,qwen2.5-vl-7b,2,0.0849609375,0.9140625,B,3.0,1
205,GRID-0205,Grid,qwen2.5-vl-7b,2,0.053466796875,0.9453125,B,3.0,1
206,GRID-0206,Grid,qwen2.5-vl-7b,2,0.053466796875,0.9453125,B,3.0,1
207,GRID-0207,Grid,qwen2.5-vl-7b,2,0.90625,0.09521484375,A,3.0,1
208,GRID-0208,Grid,qwen2.5-vl-7b,2,0.94140625,0.06005859375,A,3.0,1
209,GRID-0209,Grid,qwen2.5-vl-7b,2,0.984375,0.015869140625,A,3.0,1
210,GRID-0210,Grid,qwen2.5-vl-7b,2,0.94140625,0.06005859375,A,3.0,1
211,GRID-0211,Grid,qwen2.5-vl-7b,2,0.29296875,0.703125,B,3.0,1
212,GRID-0212,Grid,qwen2.5-vl-7b,2,0.98828125,0.012451171875,A,3.0,1
213,GRID-0213,Grid,qwen2.5-vl-7b,2,0.46875,0.53125,B,3.0,1
214,GRID-0214,Grid,qwen2.5-vl-7b,2,0.22265625,0.77734375,B,3.0,1
215,GRID-0215,Grid,qwen2.5-vl-7b,2,0.73046875,0.26953125,A,3.0,0
216,GRID-0216,Grid,qwen2.5-vl-7b,2,0.26953125,0.73046875,B,3.0,1
217,GRID-0217,Grid,qwen2.5-vl-7b,2,0.06005859375,0.9375,B,3.0,1
218,GRID-0218,Grid,qwen2.5-vl-7b,2,0.98046875,0.0179443359375,A,3.0,1
219,GRID-0219,Grid,qwen2.5-vl-7b,2,0.96484375,0.033203125,A,3.0,1
220,GRID-0220,Grid,qwen2.5-vl-7b,2,0.8515625,0.1484375,A,3.0,1
221,GRID-0221,Grid,qwen2.5-vl-7b,2,0.119140625,0.87890625,B,4.0,1
222,GRID-0222,Grid,qwen2.5-vl-7b,2,0.96875,0.029296875,A,3.0,1
223,GRID-0223,Grid,qwen2.5-vl-7b,2,0.34765625,0.65234375,B,3.0,1
224,GRID-0224,Grid,qwen2.5-vl-7b,2,0.96484375,0.033203125,A,3.0,1
225,GRID-0225,Grid,qwen2.5-vl-7b,2,0.2021484375,0.796875,B,3.0,1
226,GRID-0226,Grid,qwen2.5-vl-7b,2,0.94140625,0.06005859375,A,3.0,1
227,GRID-0227,Grid,qwen2.5-vl-7b,2,0.93359375,0.0673828125,A,3.0,1
228,GRID-0228,Grid,qwen2.5-vl-7b,2,0.89453125,0.1064453125,A,3.0,1
229,GRID-0229,Grid,qwen2.5-vl-7b,2,0.1640625,0.8359375,B,3.0,1
230,GRID-0230,Grid,qwen2.5-vl-7b,2,0.2021484375,0.796875,B,3.0,1
231,GRID-0231,Grid,qwen2.5-vl-7b,2,0.6796875,0.3203125,A,3.0,1
232,GRID-0232,Grid,qwen2.5-vl-7b,2,0.1484375,0.8515625,B,3.0,1
233,GRID-0233,Grid,qwen2.5-vl-7b,2,0.02294921875,0.9765625,B,3.0,1
234,GRID-0234,Grid,qwen2.5-vl-7b,2,0.9765625,0.02294921875,A,3.0,1
235,GRID-0235,Grid,qwen2.5-vl-7b,2,0.04736328125,0.953125,B,3.0,1
236,GRID-0236,Grid,qwen2.5-vl-7b,2,0.9453125,0.053466796875,A,3.0,1
237,GRID-0237,Grid,qwen2.5-vl-7b,2,0.8359375,0.1640625,A,3.0,1
238,GRID-0238,Grid,qwen2.5-vl-7b,2,0.06005859375,0.94140625,B,3.0,1
239,GRID-0239,Grid,qwen2.5-vl-7b,2,0.46875,0.53125,B,3.0,1
240,GRID-0240,Grid,qwen2.5-vl-7b,2,0.1640625,0.8359375,B,3.0,1
241,GRID-0241,Grid,qwen2.5-vl-7b,2,0.2451171875,0.75390625,B,3.0,1
242,GRID-0242,Grid,qwen2.5-vl-7b,2,0.81640625,0.1826171875,A,3.0,1
243,GRID-0243,Grid,qwen2.5-vl-7b,2,0.796875,0.2021484375,A,3.0,0
244,GRID-0244,Grid,qwen2.5-vl-7b,2,0.9140625,0.0849609375,A,3.0,1
245,GRID-0245,Grid,qwen2.5-vl-7b,2,0.9921875,0.007568359375,A,3.0,1
246,GRID-0246,Grid,qwen2.5-vl-7b,2,0.9609375,0.037353515625,A,3.0,1
247,GRID-0247,Grid,qwen2.5-vl-7b,2,0.8359375,0.1640625,A,3.0,0
248,GRID-0248,Grid,qwen2.5-vl-7b,2,0.22265625,0.77734375,B,3.0,1
249,GRID-0249,Grid,qwen2.5-vl-7b,2,0.98828125,0.010986328125,A,3.0,1
250,GRID-0250,Grid,qwen2.5-vl-7b,2,0.53125,0.46875,A,3.0,0
251,GRID-0251,Grid,qwen2.5-vl-7b,2,0.1640625,0.8359375,B,3.0,1
252,GRID-0252,Grid,qwen2.5-vl-7b,2,0.06005859375,0.94140625,B,3.0,1
253,GRID-0253,Grid,qwen2.5-vl-7b,2,0.9609375,0.037353515625,A,3.0,1
254,GRID-0254,Grid,qwen2.5-vl-7b,2,0.4375,0.5625,B,3.0,1
255,GRID-0255,Grid,qwen2.5-vl-7b,2,0.984375,0.0140380859375,A,3.0,1
256,GRID-0256,Grid,qwen2.5-vl-7b,2,0.98828125,0.010986328125,A,3.0,1
257,GRID-0257,Grid,qwen2.5-vl-7b,3,0.09521484375,0.90234375,B,3.0,1
258,GRID-0258,Grid,qwen2.5-vl-7b,3,0.87890625,0.119140625,A,3.0,1
259,GRID-0259,Grid,qwen2.5-vl-7b,3,0.26953125,0.73046875,B,3.0,1
260,GRID-0260,Grid,qwen2.5-vl-7b,3,0.34765625,0.6484375,B,3.0,1
261,GRID-0261,Grid,qwen2.5-vl-7b,3,0.2451171875,0.75390625,B,3.0,1
262,GRID-0262,Grid,qwen2.5-vl-7b,3,0.8515625,0.1484375,A,3.0,1
263,GRID-0263,Grid,qwen2.5-vl-7b,3,0.90625,0.09521484375,A,3.0,1
264,GRID-0264,Grid,qwen2.5-vl-7b,3,0.119140625,0.87890625,B,3.0,1
265,GRID-0265,Grid,qwen2.5-vl-7b,3,0.984375,0.015869140625,A,3.0,1
266,GRID-0266,Grid,qwen2.5-vl-7b,3,0.984375,0.015869140625,A,3.0,1
267,GRID-0267,Grid,qwen2.5-vl-7b,3,0.96875,0.029296875,A,3.0,1
268,GRID-0268,Grid,qwen2.5-vl-7b,3,0.98828125,0.00970458984375,A,3.0,1
269,GRID-0269,Grid,qwen2.5-vl-7b,3,0.98828125,0.010986328125,A,3.0,1
270,GRID-0270,Grid,qwen2.5-vl-7b,3,0.97265625,0.0260009765625,A,3.0,1
271,GRID-0271,Grid,qwen2.5-vl-7b,3,0.22265625,0.77734375,B,3.0,1
272,GRID-0272,Grid,qwen2.5-vl-7b,3,0.02294921875,0.9765625,B,3.0,1
273,GRID-0273,Grid,qwen2.5-vl-7b,3,0.9921875,0.00860595703125,A,3.0,1
274,GRID-0274,Grid,qwen2.5-vl-7b,3,0.98046875,0.0179443359375,A,3.0,1
275,GRID-0275,Grid,qwen2.5-vl-7b,3,0.97265625,0.0260009765625,A,3.0,1
276,GRID-0276,Grid,qwen2.5-vl-7b,3,0.1328125,0.8671875,B,3.0,1
277,GRID-0277,Grid,qwen2.5-vl-7b,3,0.9765625,0.02294921875,A,3.0,1
278,GRID-0278,Grid,qwen2.5-vl-7b,3,0.201171875,0.796875,B,3.0,1
279,GRID-0279,Grid,qwen2.5-vl-7b,3,0.34765625,0.65234375,B,3.0,1
280,GRID-0280,Grid,qwen2.5-vl-7b,3,0.020263671875,0.98046875,B,3.0,1
281,GRID-0281,Grid,qwen2.5-vl-7b,3,0.07568359375,0.921875,B,3.0,1
282,GRID-0282,Grid,qwen2.5-vl-7b,3,0.984375,0.015869140625,A,3.0,1
283,GRID-0283,Grid,qwen2.5-vl-7b,3,0.96875,0.029296875,A,3.0,1
284,GRID-0284,Grid,qwen2.5-vl-7b,3,0.98828125,0.010986328125,A,3.0,1
285,GRID-0285,Grid,qwen2.5-vl-7b,3,0.376953125,0.62109375,B,3.0,1
286,GRID-0286,Grid,qwen2.5-vl-7b,3,0.98046875,0.0179443359375,A,4.0,1
287,GRID-0287,Grid,qwen2.5-vl-7b,3,0.34765625,0.65234375,B,3.0,1
288,GRID-0288,Grid,qwen2.5-vl-7b,3,0.9921875,0.00592041015625,A,3.0,1
289,GRID-0289,Grid,qwen2.5-vl-7b,3,0.8671875,0.1328125,A,3.0,1
